,lot_day,season,age,per_capita,lot_id,prod_id
0,3,inv,23.0,0.3466643385483998,615812,n_3
1,4,inv,24.0,0.7089906071255461,615812,n_3
2,5,inv,25.0,0.9365372625809464,615812,n_3
3,6,inv,26.0,0.7225952696150987,615812,n_3
4,7,inv,27.0,0.7443030881566406,615812,n_3
5,8,inv,28.0,0.9870499752047326,615812,n_3
6,9,inv,29.0,0.9915803270168134,615812,n_3
7,10,inv,30.0,1.1277934328725363,615812,n_3
8,11,inv,31.0,1.1353907246852035,615812,n_3
9,12,inv,32.0,1.209261434784336,615812,n_3
10,13,inv,33.0,1.331614737538329,615812,n_3
11,14,inv,34.0,1.3671773684205222,615812,n_3
12,15,inv,35.0,1.730940549982514,615812,n_3
13,16,inv,36.0,1.6762397104699174,615812,n_3
14,17,inv,37.0,1.7916014392090889,615812,n_3
15,18,inv,38.0,2.2261177642021543,615812,n_3
16,19,inv,39.0,1.89535316824482,615812,n_3
17,20,inv,40.0,2.447561892078776,615812,n_3
18,21,inv,41.0,2.50604220234959,615812,n_3
19,22,inv,42.0,2.556545721675218,615812,n_3
20,23,inv,43.0,2.5444415249155288,615812,n_3
21,24,inv,44.0,2.2482850144661644,615812,n_3
22,25,inv,45.0,2.184202603088941,615812,n_3
23,26,inv,46.0,2.351237879119485,615812,n_3
24,27,inv,47.0,2.586310531969262,615812,n_3
25,28,inv,48.0,2.5472673591764,615812,n_3
26,29,inv,49.0,2.558264110857169,615812,n_3
27,30,inv,50.0,2.664312421093994,615812,n_3
28,31,inv,51.0,2.94701767848542,615812,n_3
29,32,inv,52.0,2.727341017643912,615812,n_3
30,33,inv,53.0,2.608082456879535,615812,n_3
31,34,inv,54.0,2.682051594184825,615812,n_3
32,35,inv,55.0,3.076979202633524,615812,n_3
33,36,inv,56.0,3.214800286719889,615812,n_3
34,37,inv,57.0,2.787689943809833,615812,n_3
35,38,inv,58.0,2.745613607057365,615812,n_3
36,39,inv,59.0,2.849727728295832,615812,n_3
37,40,inv,60.0,2.707323357394955,615812,n_3
38,41,inv,61.0,2.4019524067961537,615812,n_3
39,42,inv,62.0,2.6723123801756934,615812,n_3
40,43,inv,63.0,2.4439718604741443,615812,n_3
41,3,out,23.0,3.027132743077757,880714,n_3
42,4,out,24.0,3.407962622478925,880714,n_3
43,5,out,25.0,3.1618232882127595,880714,n_3
44,6,out,26.0,3.154959256623324,880714,n_3
45,7,out,27.0,3.046664136828963,880714,n_3
46,8,out,28.0,3.5073007423641487,880714,n_3
47,9,out,29.0,2.154959256623324,880714,n_3
48,10,out,30.0,1.651003728852817,880714,n_3
49,11,out,31.0,0.8186078422271734,880714,n_3
50,12,out,32.0,0.7588477587599869,880714,n_3
51,13,out,33.0,0.7935734915688449,880714,n_3
52,14,out,34.0,1.4807874777046202,880714,n_3
53,15,out,35.0,1.319963740196379,880714,n_3
54,16,out,36.0,1.5573643822201415,880714,n_3
55,17,out,37.0,1.513211847886999,880714,n_3
56,18,out,38.0,1.514889022739252,880714,n_3
57,19,out,39.0,1.7411440005593657,880714,n_3
58,20,out,40.0,2.3532624640512383,880714,n_3
59,21,out,41.0,2.881007577879766,880714,n_3
60,22,out,42.0,2.9166060876549054,880714,n_3
61,23,out,43.0,2.8313498225496128,880714,n_3
62,24,out,44.0,2.7838231175795163,880714,n_3
63,25,out,45.0,2.8490548154031354,880714,n_3
64,26,out,46.0,2.69047090842298,880714,n_3
65,27,out,47.0,2.613608795152966,880714,n_3
66,28,out,48.0,2.57261121581403,880714,n_3
67,29,out,49.0,2.656151114103072,880714,n_3
68,30,out,50.0,3.0686657158063646,880714,n_3
69,31,out,51.0,3.2374142125679546,880714,n_3
70,32,out,52.0,3.420697087864806,880714,n_3
71,33,out,53.0,3.42524548783103,880714,n_3
72,34,out,54.0,3.5533134583145296,880714,n_3
73,35,out,55.0,3.036369941754899,880714,n_3
74,36,out,56.0,2.921216984971795,880714,n_3
75,37,out,57.0,2.625001206696009,880714,n_3
76,38,out,58.0,2.603719586870989,880714,n_3
77,39,out,59.0,2.8881263003844286,880714,n_3
78,40,out,60.0,2.8153531298728574,880714,n_3
79,41,out,61.0,2.4410947276005177,880714,n_3
80,42,out,62.0,2.2919449706120973,880714,n_3
81,43,out,63.0,2.621720991099754,880714,n_3
82,3,inv,23.0,3.379041926795634,339544,n_3
83,4,inv,24.0,2.701409879164292,339544,n_3
84,5,inv,25.0,1.7150675960485229,339544,n_3
85,6,inv,26.0,2.459087539797949,339544,n_3
86,7,inv,27.0,2.489000472084384,339544,n_3
87,8,inv,28.0,2.4075152067149985,339544,n_3
88,9,inv,29.0,2.56144448368073,339544,n_3
89,10,inv,30.0,2.541368735946541,339544,n_3
90,11,inv,31.0,3.248872863730528,339544,n_3
91,12,inv,32.0,3.229834637416814,339544,n_3
92,13,inv,33.0,3.826360624653955,339544,n_3
93,14,inv,34.0,4.2061118494109895,339544,n_3
94,15,inv,35.0,4.121326895483129,339544,n_3
95,16,inv,36.0,4.525156868230991,339544,n_3
96,17,inv,37.0,3.271491895267286,339544,n_3
97,18,inv,38.0,4.286202256722535,339544,n_3
98,19,inv,39.0,4.919270678388223,339544,n_3
99,20,inv,40.0,4.985167066173175,339544,n_3
100,21,inv,41.0,4.639085825959137,339544,n_3
101,22,inv,42.0,5.109826142730604,339544,n_3
102,23,inv,43.0,5.254370748000226,339544,n_3
103,24,inv,44.0,5.438911294877532,339544,n_3
104,25,inv,45.0,5.336684776408196,339544,n_3
105,26,inv,46.0,5.251510588728965,339544,n_3
106,27,inv,47.0,6.009295675483024,339544,n_3
107,28,inv,48.0,7.565062056447555,339544,n_3
108,29,inv,49.0,12.056682603219926,339544,n_3
109,30,inv,50.0,12.286047087992907,339544,n_3
110,31,inv,51.0,12.531358013673112,339544,n_3
111,32,inv,52.0,11.208613153265995,339544,n_3
112,33,inv,53.0,10.41486727194413,339544,n_3
113,34,inv,54.0,9.714785963598269,339544,n_3
114,35,inv,55.0,10.40976630355444,339544,n_3
115,36,inv,56.0,9.629487516705511,339544,n_3
116,37,inv,57.0,7.427353967153465,339544,n_3
117,38,inv,58.0,7.311305431108969,339544,n_3
118,39,inv,59.0,5.535018331650993,339544,n_3
119,40,inv,60.0,5.861593987315786,339544,n_3
120,41,inv,61.0,5.6354718691088745,339544,n_3
121,42,inv,62.0,5.823789174324305,339544,n_3
122,43,inv,63.0,6.0650829323937705,339544,n_3
123,4,inv,24.0,1.9235998016128004,339545,n_3
124,5,inv,25.0,1.8860533483423925,339545,n_3
